"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"186","ACOT7",156.625600091561,-0.23094651771361,0.382542215964576,-0.60371511450385,0.546033063541135,0.945188125377886
"187","ACOT8",119.680241528252,-0.145160492490031,0.576500693800628,-0.251795867812488,0.801198851448422,0.988531348714767
"188","ACOT9",119.158660495526,-0.226766835998264,0.325119591076977,-0.697487454530458,0.485497787869768,0.9267646509607
"189","ACOX1",581.856244132792,-1.27294372247916,0.562302069044082,-2.26380764460492,0.0235859481427707,0.369147129306454
"190","ACOX2",9.47036195139686,-1.75521051933525,1.60266739011095,-1.09518077809877,0.273437445100324,0.808396066070054
"191","ACOX3",59.2300592617761,0.528529130741439,1.10191278606947,0.479646971541827,0.631478440497824,0.965114477016971
"192","ACOXL",3.55707619085546,-1.15196082420412,2.19842545574362,-0.523993579675171,0.600283005407217,0.959443282216089
"194","ACP1",138.98458897007,-0.100997060052888,0.481602337787373,-0.209710485453412,0.833893641301593,0.992413923098632
"195","ACP2",280.058777700633,0.0469013024866744,0.379134409077672,0.123706267127724,0.901547849330269,0.995602245962101
"196","ACP3",98.1851183703637,0.410868836743669,0.863084426725608,0.476047098083364,0.634040824384099,0.965466386163595
"197","ACP4",15.1182908980151,0.289497437419561,1.5960469324556,0.18138403798324,0.856066146914527,0.992838797600056
"199","ACP6",86.2348802603324,0.395642611927057,0.542326809870614,0.729528034989543,0.465678725181858,0.920887332826922
"200","ACP7",41.1046409453495,1.48287407272181,1.20639814761889,1.22917469298888,0.219006315140383,0.776278430392448
"201","ACR",3.03017238002655,1.72205420001966,2.6736726381434,0.644078177504727,0.51952474050761,0.93879958700511
"202","ACRBP",20.815866906858,0.000100038326222464,0.879518490577317,0.000113742152432519,0.999909246892857,0.999909246892857
"203","ACRV1",7.16461848503679,3.67265896316403,1.58949625029315,2.31058045118804,0.0208560400633861,0.349053913452565
"204","ACSBG1",17.9575322673797,1.84771666792194,0.612714120297017,3.01562605906038,0.00256449313798324,0.150537607698287
"205","ACSBG2",1.49585409190578,3.72338048457372,3.18034467214143,1.17074747186652,0.241700297439388,0.789009263996008
"206","ACSF2",232.998645046943,-0.84893495774609,0.514342709909232,-1.65052394325936,0.0988358203441942,0.62588574476108
"207","ACSF3",82.4419305579744,-1.24019542474237,0.845813098842854,-1.4662759733079,0.14257311834065,0.697269006366145
"208","ACSL1",1620.76829953812,-0.771439962570061,0.865789600369807,-0.891024750401892,0.372915892362763,0.877685969831908
"209","ACSL3",264.267957487124,-0.0701845030799004,0.346902441660853,-0.20231769699827,0.839668365837431,0.992413923098632
"210","ACSL4",302.288430338591,1.87437125317136,0.75584659615077,2.47983024957286,0.0131444943175129,0.298007081421031
"211","ACSL5",56.5735249465128,-0.20444427965007,1.11455488471224,-0.183431325324867,0.854459598772325,0.992838797600056
"212","ACSL6",23.7190588635979,1.41316382911689,1.80790430586646,0.781658533878877,0.434415277074057,0.909138814372981
"213","ACSM1",5.20832639653845,-1.5713688960711,1.81243003420489,-0.866995617163483,0.385944411119745,0.883680557543552
"216","ACSM3",35.9602889620065,-1.52807345153247,1.37827641567884,-1.10868432061202,0.267566388234573,0.80413774916629
"218","ACSM5",13.1399622015254,-0.957959874615242,1.54332893430596,-0.620710111319232,0.534790375364914,0.943366825301309
"219","ACSM6",3.09679938107476,0.98203452607222,2.53291015827003,0.387709971814771,0.698230675492394,0.975629424404604
"220","ACSS1",49.7230378682248,0.35545640371694,0.445017045593287,0.798747839519389,0.42443664109357,0.904987873917207
"221","ACSS2",1428.61183283955,-2.22580197156364,0.778875453100732,-2.85771231164448,0.00426707066989218,0.186882613295364
"222","ACSS3",83.1092756198175,0.750893068822748,0.642786794657234,1.16818371980271,0.242732665956479,0.789009263996008
"224","ACTA2",532.381620092049,-1.07314538031242,0.888650909197067,-1.20761186333794,0.227196593831768,0.779423327304737
"225","ACTA2-AS1",2.22659705198044,4.29177826411222,2.49604103400884,1.71943417821913,0.0855353433063682,0.595691960955991
"226","ACTB",18555.1733578872,-0.365126966210358,0.306195939246628,-1.19246181745168,0.2330802137664,0.786007522531308
"227","ACTBL2",77.8521947856463,4.36580456898033,3.01607970418004,1.44750968050668,0.147754227147958,0.705480375865844
